
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 14Sep2017 at 12:29:12 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      32 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    32
     Reading header from file  out.oncv

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        5377    5377      1               295907   295907       1
 
     Reading data from file  out.oncv
    3.366592000   -0.170177434   -0.063145104
    3.380277333   -0.181094228   -0.062847797
    3.393962667   -0.191905079   -0.062553374
    3.407648000   -0.202593664   -0.062262278
    3.421333333   -0.213143851   -0.061974950
    3.435018667   -0.223539723   -0.061691822
    3.448704000   -0.233765610   -0.061413320
    3.462389333   -0.243806108   -0.061139863
    3.476074667   -0.253646109   -0.060871864
    3.489760000   -0.263270823   -0.060609724
    3.503445333   -0.272665800   -0.060353837
    3.517130667   -0.281816955   -0.060104586
    3.530816000   -0.290710586   -0.059862345
    3.544501333   -0.299333399   -0.059627474
    3.558186667   -0.307672527   -0.059400326
    3.571872000   -0.315715546   -0.059181237
    3.585557333   -0.323450496   -0.058970534
    3.599242667   -0.330865900   -0.058768529
    3.612928000   -0.337950775   -0.058575522
    3.626613333   -0.344694652   -0.058391798
    3.640298667   -0.351087585   -0.058217627
    3.653984000   -0.357120171   -0.058053266
    3.667669333   -0.362783553   -0.057898957
    3.681354667   -0.368069437   -0.057754926
    3.695040000   -0.372970101   -0.057621382
    3.708725333   -0.377478400   -0.057498522
    3.722410667   -0.381587775   -0.057386525
    3.736096000   -0.385292261   -0.057285552
    3.749781333   -0.388586492   -0.057195750
    3.763466667   -0.391465703   -0.057117250
    3.777152000   -0.393925740   -0.057050165
    3.790837333   -0.395963055   -0.056994592
    3.804522667   -0.397574716   -0.056950611
    3.818208000   -0.398758406   -0.056918285
    3.831893333   -0.399512423   -0.056897660
    3.845578667   -0.399835686   -0.056888767
    3.859264000   -0.399727730   -0.056891618
    3.872949333   -0.399188709   -0.056906208
    3.886634667   -0.398219398   -0.056932517
    3.900320000   -0.396821188   -0.056970507
    3.914005333   -0.394996089   -0.057020122
    3.927690667   -0.392746726   -0.057081292
    3.941376000   -0.390076339   -0.057153926
    3.955061333   -0.386988780   -0.057237921
    3.968746667   -0.383488509   -0.057333155
    3.982432000   -0.379580592   -0.057439489
    3.996117333   -0.375270695   -0.057556768
    4.009802667   -0.370565082   -0.057684822
    4.023488000   -0.365470605   -0.057823464
    4.037173333   -0.359994698   -0.057972491
    4.050858667   -0.354145371   -0.058131684
    4.064544000   -0.347931202   -0.058300810
    4.078229333   -0.341361321   -0.058479620
    4.091914667   -0.334445404   -0.058667850
    4.105600000   -0.327193662   -0.058865221
    4.119285333   -0.319616821   -0.059071443
    4.132970667   -0.311726114   -0.059286208
    4.146656000   -0.303533262   -0.059509198
    4.160341333   -0.295050459   -0.059740079
    4.174026667   -0.286290352   -0.059978509
    4.187712000   -0.277266026   -0.060224131
    4.201397333   -0.267990981   -0.060476577
    4.215082667   -0.258479111   -0.060735468
    4.228768000   -0.248744689   -0.061000417
    4.242453333   -0.238802337   -0.061271026
    4.256138667   -0.228667008   -0.061546886
    4.269824000   -0.218353959   -0.061827584
    4.283509333   -0.207878732   -0.062112696
    4.297194667   -0.197257123   -0.062401792
    4.310880000   -0.186505160   -0.062694437
    4.324565333   -0.175639074   -0.062990188
    4.338250667   -0.164675274   -0.063288599
    4.351936000   -0.153630315   -0.063589221
    4.365621333   -0.142520873   -0.063891599
    4.379306667   -0.131363709   -0.064195279
    4.392992000   -0.120175642   -0.064499802
    4.406677333   -0.108973513   -0.064804713
    4.420362667   -0.097774149   -0.065109553
    4.434048000   -0.086594330   -0.065413868
    4.447733333   -0.075450750   -0.065717204
    4.461418667   -0.064359975   -0.066019113
    4.475104000   -0.053338403   -0.066319149
    4.488789333   -0.042402224   -0.066616875
    4.502474667   -0.031567369   -0.066911860
    4.516160000   -0.020849470   -0.067203680
    4.529845333   -0.010263805   -0.067491922
    4.543530667    0.000174742   -0.067776184
    4.557216000    0.010451740   -0.068056077
    4.570901333    0.020553256   -0.068331224
    4.584586667    0.030465907   -0.068601265
    4.598272000    0.040176912   -0.068865854
    4.611957333    0.049674142   -0.069124666
    4.625642667    0.058946169   -0.069377392
    4.639328000    0.067982310   -0.069623744
    4.653013333    0.076772675   -0.069863457
    4.666698667    0.085308210   -0.070096286
    4.680384000    0.093580728   -0.070322010
    4.694069333    0.101582949   -0.070540434
    4.707754667    0.109308527   -0.070751386
    4.721440000    0.116752067   -0.070954719
    4.735125333    0.123909147   -0.071150314
    4.748810667    0.130776326   -0.071338077
    4.762496000    0.137351142   -0.071517939
    4.776181333    0.143632108   -0.071689857
    4.789866667    0.149618699   -0.071853816
    4.803552000    0.155311323   -0.072009821
    4.817237333    0.160711298   -0.072157906
    4.830922667    0.165820802   -0.072298123
    4.844608000    0.170642832   -0.072430550
    4.858293333    0.175181142   -0.072555281
    4.871978667    0.179440180   -0.072672430
    4.885664000    0.183425018   -0.072782128
    4.899349333    0.187141267   -0.072884518
    4.913034667    0.190594998   -0.072979756
    4.926720000    0.193792650   -0.073068010
    4.940405333    0.196740935   -0.073149452
