
     Program AVERAGE v.6.1 (svn rev. 13369) starts on 18Sep2017 at 17: 2:33 

     This program is part of the open-source Quantum ESPRESSO suite
     for quantum simulation of materials; please cite
         "P. Giannozzi et al., J. Phys.:Condens. Matter 21 395502 (2009);
          URL http://www.quantum-espresso.org", 
     in publications or presentations arising from this work. More details at
     http://www.quantum-espresso.org/quote

     Parallel version (MPI & OpenMP), running on      20 processor cores
     Number of MPI processes:                 1
     Threads/MPI process:                    20
     Reading header from file  n-atom.dat

   Info: using nr1, nr2, nr3 values from input

   Info: using nr1, nr2, nr3 values from input
 
     G-vector sticks info
     --------------------
     sticks:   dense  smooth     PW     G-vecs:    dense   smooth      PW
     Sum        9401    9401      1               684885   684885       1
 
     Reading data from file  n-atom.dat
    6.856686000    0.006009845    0.006006569
    6.870372000    0.006009810    0.006006676
    6.884058000    0.006009819    0.006006780
    6.897744000    0.006009873    0.006006880
    6.911430000    0.006009969    0.006006976
    6.925116000    0.006010104    0.006007070
    6.938802000    0.006010269    0.006007160
    6.952488000    0.006010457    0.006007248
    6.966174000    0.006010659    0.006007334
    6.979860000    0.006010865    0.006007417
    6.993546000    0.006011063    0.006007499
    7.007232000    0.006011245    0.006007579
    7.020918000    0.006011401    0.006007658
    7.034604000    0.006011523    0.006007735
    7.048290000    0.006011607    0.006007812
    7.061976000    0.006011646    0.006007887
    7.075662000    0.006011641    0.006007962
    7.089348000    0.006011592    0.006008036
    7.103034000    0.006011501    0.006008108
    7.116720000    0.006011374    0.006008180
    7.130406000    0.006011218    0.006008251
    7.144092000    0.006011041    0.006008320
    7.157778000    0.006010853    0.006008387
    7.171464000    0.006010663    0.006008453
    7.185150000    0.006010483    0.006008517
    7.198836000    0.006010321    0.006008580
    7.212522000    0.006010185    0.006008639
    7.226208000    0.006010084    0.006008697
    7.239894000    0.006010023    0.006008753
    7.253580000    0.006010005    0.006008806
    7.267266000    0.006010030    0.006008857
    7.280952000    0.006010098    0.006008906
    7.294638000    0.006010206    0.006008953
    7.308324000    0.006010347    0.006008997
    7.322010000    0.006010515    0.006009041
    7.335696000    0.006010701    0.006009083
    7.349382000    0.006010895    0.006009124
    7.363068000    0.006011088    0.006009163
    7.376754000    0.006011269    0.006009202
    7.390440000    0.006011429    0.006009241
    7.404126000    0.006011561    0.006009279
    7.417812000    0.006011657    0.006009317
    7.431498000    0.006011713    0.006009355
    7.445184000    0.006011726    0.006009393
    7.458870000    0.006011695    0.006009431
    7.472556000    0.006011622    0.006009468
    7.486242000    0.006011512    0.006009506
    7.499928000    0.006011370    0.006009543
    7.513614000    0.006011203    0.006009580
    7.527300000    0.006011021    0.006009616
    7.540986000    0.006010832    0.006009651
    7.554672000    0.006010648    0.006009685
    7.568358000    0.006010477    0.006009718
    7.582044000    0.006010328    0.006009750
    7.595730000    0.006010209    0.006009780
    7.609416000    0.006010127    0.006009809
    7.623102000    0.006010085    0.006009836
    7.636788000    0.006010086    0.006009862
    7.650474000    0.006010129    0.006009886
    7.664160000    0.006010212    0.006009908
    7.677846000    0.006010332    0.006009930
    7.691532000    0.006010481    0.006009950
    7.705218000    0.006010652    0.006009969
    7.718904000    0.006010836    0.006009988
    7.732590000    0.006011023    0.006010006
    7.746276000    0.006011204    0.006010023
    7.759962000    0.006011369    0.006010041
    7.773648000    0.006011510    0.006010058
    7.787334000    0.006011619    0.006010076
    7.801020000    0.006011692    0.006010094
    7.814706000    0.006011723    0.006010112
    7.828392000    0.006011712    0.006010131
    7.842078000    0.006011659    0.006010150
    7.855764000    0.006011567    0.006010169
    7.869450000    0.006011441    0.006010189
    7.883136000    0.006011287    0.006010208
    7.896822000    0.006011113    0.006010227
    7.910508000    0.006010929    0.006010246
    7.924194000    0.006010744    0.006010265
    7.937880000    0.006010568    0.006010283
    7.951566000    0.006010409    0.006010300
    7.965252000    0.006010276    0.006010316
    7.978938000    0.006010175    0.006010331
    7.992624000    0.006010112    0.006010344
    8.006310000    0.006010091    0.006010357
    8.019996000    0.006010111    0.006010368
    8.033682000    0.006010172    0.006010378
    8.047368000    0.006010270    0.006010387
    8.061054000    0.006010401    0.006010395
    8.074740000    0.006010557    0.006010403
    8.088426000    0.006010730    0.006010410
    8.102112000    0.006010912    0.006010416
    8.115798000    0.006011092    0.006010422
    8.129484000    0.006011261    0.006010429
    8.143170000    0.006011410    0.006010435
    8.156856000    0.006011532    0.006010442
    8.170542000    0.006011621    0.006010449
